id	Name	Manufacturer	Capacity	Type	Cache	Form Factor	Interface	NVME	Price	Url
91	Seagate SkyHawk 2 TB 3.5" 5900RPM Internal Hard Drive (ST2000VX008)	Seagate	2 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€78.00	https://fi.pcpartpicker.com/product/qFBrxr/seagate-skyhawk-2tb-35-5900rpm-internal-hard-drive-st2000vx008
92	Seagate EXOS Enterprise 2 TB 3.5" 7200RPM Internal Hard Drive (ST2000NM001A)	Seagate	2 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€159.00	https://fi.pcpartpicker.com/product/pv3mP6/seagate-exos-enterprise-2-tb-35-7200rpm-internal-hard-drive-st2000nm001a
93	Western Digital Purple 1 TB 3.5" 5400RPM Internal Hard Drive (WD10PURZ)	Western Digital	1 TB	5400RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€64.00	https://fi.pcpartpicker.com/product/FMvbt6/western-digital-purple-1tb-35-5400rpm-internal-hard-drive-wd10purz
94	Seagate SkyHawk 4 TB 3.5" 5900RPM Internal Hard Drive (ST4000VX007)	Seagate	4 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€122.00	https://fi.pcpartpicker.com/product/tGWrxr/seagate-skyhawk-4tb-35-5900rpm-internal-hard-drive-st4000vx007
95	Western Digital Purple Pro 10 TB 3.5" 7200RPM Internal Hard Drive (WD101PURP)	Western Digital	10 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€334.00	https://fi.pcpartpicker.com/product/47ytt6/western-digital-10-tb-35-7200rpm-internal-hard-drive-wd101purp
96	Toshiba P300 4 TB 3.5" 5400RPM Internal Hard Drive (HDWD240UZSVA)	Toshiba	4 TB	5400RPM	128 MB	3.5	SATA 6.0 Gb/s	No	€98.00	https://fi.pcpartpicker.com/product/2bPQzy/toshiba-p300-4-tb-35-5400rpm-internal-hard-drive-hdwd240uzsva
97	Western Digital Purple Pro 14 TB 3.5" 7200RPM Internal Hard Drive (WD141PURP)	Western Digital	14 TB	7200RPM	512 MB	3.5	SATA 6.0 Gb/s	No	€389.00	https://fi.pcpartpicker.com/product/3gKKHx/western-digital-14-tb-35-7200rpm-internal-hard-drive-wd141purp
98	Seagate EXOS Enterprise 4 TB 3.5" 7200RPM Internal Hard Drive (ST4000NM002A)	Seagate	4 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€209.00	https://fi.pcpartpicker.com/product/t2mFf7/seagate-exos-enterprise-4-tb-35-7200rpm-internal-hard-drive-st4000nm002a
99	Seagate SkyHawk Surveillance 3 TB 3.5" 5900RPM Internal Hard Drive (ST3000VX009)	Seagate	3 TB	5900RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€101.00	https://fi.pcpartpicker.com/product/BCGxFT/seagate-skyhawk-surveillance-3-tb-35-5900rpm-internal-hard-drive-st3000vx009
100	Toshiba P300 2 TB 3.5" 7200RPM Internal Hard Drive (HDWD120EZSTA)	Toshiba	2 TB	7200RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€81.00	https://fi.pcpartpicker.com/product/xTNv6h/toshiba-p300-2tb-35-7200rpm-internal-hard-drive-hdwd120ezsta
