id	Name	Manufacturer	Type	Color	Power Supply	Side Panel Window	Power Supply Shroud	Motherboard Form Factor	Maximum Video Card Length	Volume	Dimensions	Price	Url
44	Deepcool MATREXX 50 ADD-RGB 4F ATX Mid Tower Case (DP-ATX-MATREXX50-AR-4F-NE)	Deepcool	ATX Mid Tower	Black	None	Tempered Glass	No	ATX	340 mm / 13.386	44.461 L	442 mm x 210 mm x 479 mm	€75.20	https://fi.pcpartpicker.com/product/YJfFf7/deepcool-matrexx-50-add-rgb-4f-atx-mid-tower-case-dp-atx-matrexx50-ar-4f-ne
45	Corsair 275R Airflow ATX Mid Tower Case (CC-9011182-WW)	Corsair	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567			€99.90	https://fi.pcpartpicker.com/product/ycbCmG/corsair-275r-airflow-atx-mid-tower-case-cc-9011182-ww
46	NZXT H510i ATX Mid Tower Case (CA-H510i-W1)	NZXT	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	381 mm / 15 With Drive Cages	41.345 L	428 mm x 210 mm x 460 mm	€107.90	https://fi.pcpartpicker.com/product/BM848d/nzxt-h510i-atx-mid-tower-case-ca-h510i-w1
47	Phanteks Eclipse P400A Digital ATX Mid Tower Case (PH-EC400ATG_DBK)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	280 mm / 11.024 With Drive Cages	45.895 L	470 mm x 210 mm x 465 mm	€109.00	https://fi.pcpartpicker.com/product/QdXYcf/phanteks-eclipse-p400a-digital-atx-mid-tower-case-ph-ec400atg_dbk
48	Corsair iCUE 5000X RGB QL Edition ATX Mid Tower Case (CC-9011233-WW)	Corsair	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	420 mm / 16.535	66.248 L	520 mm x 245 mm x 520 mm	€349.00	https://fi.pcpartpicker.com/product/MCvdnQ/corsair-icue-5000x-rgb-ql-edition-atx-mid-tower-case-cc-9011233-ww
49	Lian Li O11D XL-W ATX Full Tower Case (O11D XL-W)	Lian Li	ATX Full Tower	White / Black	None	Tempered Glass	Yes	ATX	446 mm / 17.559			€219.00	https://fi.pcpartpicker.com/product/3Pn8TW/lian-li-o11d-xl-w-atx-full-tower-case-o11d-xl-w
50	Fractal Design Torrent ATX Mid Tower Case (FD-C-TOR1A-05)	Fractal Design	ATX Mid Tower	Black	None	None	Yes	ATX	423 mm / 16.654 With Drive Cages	69.773 L	544 mm x 242 mm x 530 mm	€234.90	https://fi.pcpartpicker.com/product/4svdnQ/fractal-design-torrent-atx-mid-tower-case-fd-c-tor1a-05
51	HYTE Y60 ATX Mid Tower Case (CS-HYTE-Y60-B)	HYTE	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	375 mm / 14.764			€219.00	https://fi.pcpartpicker.com/product/H6VmP6/hyte-y60-atx-mid-tower-case-cs-hyte-y60-b
52	Corsair iCUE 220T RGB Airflow ATX Mid Tower Case (CC-9011174-WW)	Corsair	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	300 mm / 11.811 With Drive Cages	37.328 L	395 mm x 210 mm x 450 mm	€102.90	https://fi.pcpartpicker.com/product/wj4BD3/corsair-icue-220t-rgb-atx-mid-tower-case-cc-9011174-ww
53	Corsair 1000D ATX Full Tower Case (CC-9011148-WW)	Corsair	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	400 mm / 15.748			€582.00	https://fi.pcpartpicker.com/product/bHprxr/corsair-obsidian-series-1000d-atx-full-tower-case-cc-9011148-ww
54	Phanteks Enthoo Elite ATX Full Tower Case (PH-ES916E_BK)	Phanteks	ATX Full Tower	Black	None	Tinted Tempered Glass	Yes	ATX		124.537 L	615 mm x 270 mm x 750 mm	€999.00	https://fi.pcpartpicker.com/product/hbYWGX/phanteks-enthoo-elite-black-atx-full-tower-case-ph-es916e_bk
55	Fractal Design Focus G ATX Mid Tower Case (FD-CA-FOCUS-WT-W)	Fractal Design	ATX Mid Tower	White	None	Acrylic	No	ATX	380 mm / 14.961	42.233 L	464 mm x 205 mm x 444 mm	€64.90	https://fi.pcpartpicker.com/product/YhzZxr/fractal-design-focus-g-white-atx-mid-tower-case-fd-ca-focus-wt-w
56	Lian Li O11D XL-X ATX Full Tower Case (O11D XL-X)	Lian Li	ATX Full Tower	Black	None	Tempered Glass	Yes	ATX	446 mm / 17.559			€219.00	https://fi.pcpartpicker.com/product/FjpmP6/lian-li-o11d-xl-x-atx-full-tower-case-o11d-xl-x
57	Fractal Design Define R5 ATX Mid Tower Case (FD-CA-DEF-R5-BK)	Fractal Design	ATX Mid Tower	Black	None	None	No	ATX	310 mm / 12.205 With Drive Cages	54.174 L	520 mm x 231 mm x 451 mm	€152.90	https://fi.pcpartpicker.com/product/sjX2FT/fractal-design-case-fdcadefr5bk
58	Fractal Design Meshify C ATX Mid Tower Case (FD-CA-MESH-C-WT-TGC)	Fractal Design	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	315 mm / 12.402	40.598 L	413 mm x 217 mm x 453 mm	€106.90	https://fi.pcpartpicker.com/product/BBrmP6/fractal-design-meshify-c-white-tg-atx-mid-tower-case-fd-ca-mesh-c-wt-tgc
